Home_Gols_Media,Home_Gols_Sofridos_Media,Home_Aproveitamento,Away_Gols_Media,Away_Gols_Sofridos_Media,Away_Aproveitamento,Home_Gols_Casa_Media,Home_Gols_Sofridos_Casa_Media,Home_Aproveitamento_Casa,Away_Gols_Fora_Media,Away_Gols_Sofridos_Fora_Media,Away_Aproveitamento_Fora,Home_Vitorias,Home_Derrotas,Away_Vitorias,Away_Derrotas,Diferenca_Gols_Media,Diferenca_Gols_Sofridos,Diferenca_Aproveitamento,Diferenca_Gols_Casa_Fora,Diferenca_Aproveitamento_Casa_Fora,Diferenca_Vitorias,Diferenca_Derrotas,Home_Pontos_5,Away_Pontos_5,Home_Pontos_10,Away_Pontos_10,Home_Empates_5,Away_Empates_5,Home_Empates_10,Away_Empates_10,Home_Gols_Media_10,Away_Gols_Media_10,Home_Gols_Sofridos_Media_10,Away_Gols_Sofridos_Media_10,Home_Gols_Casa_Media_10,Away_Gols_Fora_Media_10,Home_Aproveitamento_Casa_10,Away_Aproveitamento_Fora_10,Diferenca_Pontos_5,Diferenca_Pontos_10,Diferenca_Empates_5,Diferenca_Empates_10,Diferenca_Gols_Media_10,Diferenca_Gols_Sofridos_Media_10,Elo_Home,Elo_Away,Diferenca_Elo,Home,Away,Date,Res
1.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1.0,2.0,-0.3333333333333333,0.0,0.0,0,1,0,1,0,1,0,1,0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,1.0,2.0,1491.7099735734362,1498.2900264265638,53.419947146872346,Nautico,Cruzeiro,2012-05-27,D
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1.0,-1.0,1.0,0.0,0.0,1,-1,3,0,3,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,1.0,-1.0,1511.7099735734362,1488.2900264265638,83.41994714687235,Atletico-MG,Corinthians,2012-05-27,H
0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,-4.0,0.0,-1.0,0.0,0.0,-1,1,0,3,0,3,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,-3,-3,0,0,-4.0,0.0,1491.7099735734362,1508.2900264265638,43.419947146872346,Coritiba,Botafogo RJ,2012-05-27,A
0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,1501.7099735734362,1498.2900264265638,63.419947146872346,Santos,Sport Recife,2012-05-27,D
2.0,4.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2.0,4.0,-0.3333333333333333,0.0,0.0,0,1,0,1,0,1,0,1,0,1,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,2.0,4.0,1491.7099735734362,1498.2900264265638,53.419947146872346,Sao Paulo,Bahia,2012-05-27,H
1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,-1.0,-1.0,0.0,0.0,0.0,0,0,3,3,3,3,0,0,0,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,1511.7099735734362,1508.2900264265638,63.419947146872346,Fluminense,Figueirense,2012-05-27,D
1.0,2.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,1.0,-0.3333333333333333,0.0,0.0,0,1,0,1,0,1,0,1,0,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,0.0,1.0,1491.7099735734362,1498.2900264265638,53.419947146872346,Gremio,Palmeiras,2012-05-27,H
0.5,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,2.0,0.0,0,0,1,1,-0.5,-0.5,-0.16666666666666669,0.0,0.3333333333333333,-1,-1,2,3,2,3,2,0,2,0,0.5,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.0,-1,-1,2,2,-0.5,-0.5,1499.6276813344298,1500.1844266049966,59.44325472943319,Atletico GO,Gremio,2012-06-06,A
0.5,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0,0,0,1,0.0,-0.5,0.16666666666666666,1.0,0.3333333333333333,0,-1,2,1,2,1,2,1,2,1,0.5,0.5,0.5,1.0,1.0,0.0,0.3333333333333333,0.0,1,1,1,1,0.0,-0.5,1500.095392127625,1489.8155733950034,70.2798187326216,Sport Recife,Palmeiras,2012-06-06,H
0.5,1.0,0.16666666666666666,2.0,2.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,0,1,0,0,-1.5,-1.0,-0.16666666666666666,-1.0,-0.3333333333333333,0,1,1,2,1,2,1,2,1,2,0.5,2.0,1.0,2.0,0.0,1.0,0.0,0.3333333333333333,-1,-1,-1,-1,-1.5,-1.0,1490.3723186655702,1500.1844266049966,50.18789206057363,Ponte Preta,Flamengo RJ,2012-06-07,D
0.0,0.0,0.3333333333333333,1.5,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0,0,1,0,-1.5,-1.0,-0.3333333333333333,-1.0,-0.6666666666666667,-1,0,2,4,2,4,2,1,2,1,0.0,1.5,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,-2,-2,1,1,-1.5,-1.0,1499.904607872375,1509.904607872375,50.0,Santos,Fluminense,2012-06-07,D
